##male
Message (Amharic),English Translation/Context,Why it works
"""Selam! Tebesa እንዳለው ከሆነ 90% እንመጥናለን። ቀሪውን 10% በቡና ብናሟላው ይሻላል ወይስ በሻይ?""","""Selam! Tebesa says we're a 90% match. Should we fill the other 10% with coffee or tea?""","Respectful, uses the bot as a wingman, and suggests a date."
"""ፎቶዎችሽ 'Arada' እንደሆንሽ ይመሰክራሉ፤ አመለካከትሽስ?""","""Your photos say you're 'Arada'; what about your perspective?""",Compliments her style while showing interest in her mind.
"""ጥያቄ፦ ቦሌ ላይ ትራፊክ ውስጥ መቆም ወይስ ፒያሳ ላይ በእግር መጓዝ? የትኛውን ትመርጪያለሽ?""","""Question: Stuck in Bole traffic or walking in Piassa? Which do you prefer?""","Relatable Addis struggle; starts a ""vibe"" conversation."
"""በመጀመሪያ እንኳን ለዚህ ትውውቅ አበቃን! Tebesa ጥሩ ምርጫ ነው ያቀረበልኝ።""","""First, congrats to us for this match! Tebesa gave me a great choice.""","Very polite, slightly traditional but with a modern wink."


## female
Message (Amharic),English Translation/Context,Why it works 
"""Tebesa አገናኝቶናል... አሁን የቀረው ያንተ 'Rizz' (ብቃት) ነው! 😉""","""Tebesa connected us... now the rest is up to your 'Rizz'!""",Playful challenge; puts the ball in his court.
"""Selam! አንተም እንደኔ 'Fara' ወሬ ከማይመቻቸው ወገን ነህ?""","""Selam! Are you also one of those people who hates 'Fara' (boring) talk?""",Sets a high standard for the conversation immediately.
"""ፎቶህ ላይ በጣሙን ቁምነገረኛ ትመስላለህ፤ ወይስ የፎቶ ቤት ድርቅና ነው?""","""You look so serious in your photo; or is that just 'photo studio' stiffness?""","Funny, ""teasing"" icebreaker that makes him laugh/defend himself."
"""የመጀመሪያውን 'Selam' እኔ ብልህ፣ ቡናውን ግን አንተ ትጋብዛለህ?""","""If I say the first 'Selam,' will you invite me for the coffee?""","Bold, modern, and very clear about the next step."
